time:1.4568 rot_x:22.04 gyro_x:31.98 last_x:25.09 rot_y:-34.28 gyro_x:-12.21 last_y:-39.58 
time:1.4641 rot_x:19.73 gyro_x:32.00 last_x:25.00 rot_y:-35.01 gyro_x:-12.19 last_y:-39.46 
time:1.4714 rot_x:20.38 gyro_x:31.89 last_x:24.80 rot_y:-38.35 gyro_x:-12.28 last_y:-39.53 
time:1.4788 rot_x:19.88 gyro_x:31.74 last_x:24.56 rot_y:-44.54 gyro_x:-12.33 last_y:-39.67 
time:1.4861 rot_x:22.78 gyro_x:31.62 last_x:24.41 rot_y:-47.31 gyro_x:-12.32 last_y:-39.82 
time:1.4934 rot_x:19.78 gyro_x:31.54 last_x:24.24 rot_y:-50.32 gyro_x:-12.23 last_y:-39.94 
time:1.5007 rot_x:19.54 gyro_x:31.42 last_x:24.02 rot_y:-46.65 gyro_x:-12.20 last_y:-40.04 
time:1.5081 rot_x:19.60 gyro_x:31.24 last_x:23.76 rot_y:-48.33 gyro_x:-12.24 last_y:-40.25 
time:1.5156 rot_x:20.36 gyro_x:31.07 last_x:23.53 rot_y:-51.33 gyro_x:-12.26 last_y:-40.49 
time:1.5229 rot_x:22.67 gyro_x:30.96 last_x:23.40 rot_y:-50.43 gyro_x:-12.21 last_y:-40.64 
time:1.5303 rot_x:24.31 gyro_x:30.91 last_x:23.37 rot_y:-48.66 gyro_x:-12.10 last_y:-40.69 
time:1.5377 rot_x:23.92 gyro_x:30.88 last_x:23.35 rot_y:-45.35 gyro_x:-11.95 last_y:-40.64 
time:1.5450 rot_x:24.14 gyro_x:30.82 last_x:23.31 rot_y:-42.95 gyro_x:-11.85 last_y:-40.59 
time:1.5523 rot_x:25.59 gyro_x:30.70 last_x:23.24 rot_y:-42.91 gyro_x:-11.79 last_y:-40.57 
time:1.5596 rot_x:27.05 gyro_x:30.57 last_x:23.18 rot_y:-42.96 gyro_x:-11.70 last_y:-40.54 
time:1.5670 rot_x:25.38 gyro_x:30.45 last_x:23.11 rot_y:-41.54 gyro_x:-11.55 last_y:-40.41 
time:1.5743 rot_x:21.20 gyro_x:30.35 last_x:22.98 rot_y:-39.26 gyro_x:-11.36 last_y:-40.20 
time:1.5816 rot_x:20.38 gyro_x:30.25 last_x:22.82 rot_y:-37.03 gyro_x:-11.13 last_y:-39.91 
time:1.5889 rot_x:20.04 gyro_x:30.12 last_x:22.64 rot_y:-37.58 gyro_x:-10.95 last_y:-39.69 
